chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr1	113150000	113160000	chr1	113290000	113300000	0,0,0	1.9330544	0.9486249	1.6741145	0.39106536	0.7906163	4.363973	0.1969729	4.711587
chr1	53875000	53880000	chr1	53955000	53960000	0,0,0	5.369206	0.99666107	3.3910077	1.7753203	2.3952556	4.124631	0.7011044	5.702693
chr1	51900000	51910000	chr1	52310000	52320000	0,0,0	2.2185922	0.97578007	1.635064	0.89080155	1.0837833	2.929141	0.48466673	3.7209647
chr1	195940000	195945000	chr1	196305000	196310000	0,0,0	3.1698496	0.96945494	1.8731722	1.1746142	1.6426871	2.4448135	0.49414673	3.488915
chr1	165600000	165605000	chr1	165915000	165920000	0,0,0	5.1559463	0.99465543	2.9609237	1.6128584	2.6740308	3.798567	0.97249496	5.232219
chr1	236105000	236110000	chr1	236485000	236490000	0,0,0	7.4050407	0.9999971	3.9915087	4.042094	7.163301	9.158249	2.2864258	12.751222
chr1	12400000	12410000	chr1	12620000	12630000	0,0,0	3.5258646	0.99869114	2.3872223	2.6597204	4.174267	8.543845	1.1774418	10.908041
chr1	7975000	7980000	chr1	8315000	8320000	0,0,0	6.954956	0.9999977	4.224042	3.402759	6.252611	9.939695	2.0277617	12.96437
chr1	244045000	244050000	chr1	244270000	244275000	0,0,0	2.8854182	0.974664	2.0910916	0.86225295	1.1500303	2.909461	0.45007858	3.675908
chr1	179245000	179250000	chr1	179595000	179600000	0,0,0	3.6705046	1.0	2.1403162	0.8508178	1.1196533	1.6156745	0.37375775	2.371957
chr1	113985000	113990000	chr1	114285000	114290000	0,0,0	4.8484206	0.9993915	3.0843654	2.6175642	2.901118	5.078528	1.620708	7.4052515
chr1	179115000	179120000	chr1	179290000	179295000	0,0,0	2.3595448	0.9601778	1.5787823	0.82943326	1.2519962	2.4863913	0.47247154	3.2236652
chr1	237860000	237865000	chr1	238950000	238955000	0,0,0	5.243948	0.9999695	2.9447367	5.3039103	6.282082	8.326304	1.8883104	13.040892
chr1	6105000	6110000	chr1	6180000	6185000	0,0,0	2.735401	0.98022467	1.7654097	1.0744832	1.6367886	2.9686306	0.40638027	3.9237266
chr1	47525000	47530000	chr1	47710000	47715000	0,0,0	4.2504845	0.99811614	2.6373212	1.6336534	2.9043436	4.8229504	0.7524347	6.275087
chr1	53855000	53860000	chr1	54485000	54490000	0,0,0	3.0240836	0.96644044	1.7094727	1.291325	1.6602129	2.2469413	0.78768516	3.3947856
chr1	230915000	230920000	chr1	231600000	231605000	0,0,0	3.3112786	0.96700484	1.8247223	1.3951782	1.695631	2.1715894	0.491526	3.4117477
chr1	52700000	52705000	chr1	52920000	52925000	0,0,0	3.0574946	0.96033573	1.818085	1.0030192	1.5428356	2.3360674	0.49597153	3.22764
chr1	26810000	26815000	chr1	26875000	26880000	0,0,0	3.6471229	0.9780941	2.1670573	1.1722225	1.8369964	2.779421	0.696972	3.8213964
chr1	67345000	67350000	chr1	67495000	67500000	0,0,0	6.178459	1.0	3.733859	1.6640189	2.7375014	4.2946625	0.78629994	5.7737904
chr1	88180000	88190000	chr1	88540000	88550000	0,0,0	3.0554667	0.99455184	2.234564	1.3638031	2.3966556	6.1212597	0.7649933	7.333529
chr1	240190000	240195000	chr1	240690000	240695000	0,0,0	6.1958976	0.99996305	3.2480688	3.7120764	5.7318597	6.9075007	1.6178493	10.207124
chr1	33475000	33480000	chr1	33610000	33615000	0,0,0	3.4066	1.0	2.1618545	0.69294363	1.1841208	2.0649471	0.35760584	2.680897
chr1	169105000	169110000	chr1	169360000	169365000	0,0,0	3.2304833	0.981902	2.0267713	1.3342665	1.6688855	2.8263566	0.7702553	4.0123715
chr1	192315000	192320000	chr1	192440000	192445000	0,0,0	3.1817784	1.0	1.9558659	0.80864173	0.99291134	1.6021214	0.34455076	2.320914
chr1	21220000	21230000	chr1	21480000	21490000	0,0,0	3.4779322	0.9986684	2.3012524	1.6881934	2.6565475	5.1214094	1.1165639	6.6220255
chr1	100920000	100925000	chr1	101235000	101240000	0,0,0	5.072297	0.99979275	2.6898537	2.515175	4.9677067	6.246751	1.4570239	8.482462
chr1	84440000	84445000	chr1	84750000	84755000	0,0,0	6.7449927	0.9997355	3.558319	2.7995396	4.681945	5.7500534	1.3186173	8.238533
chr1	24420000	24425000	chr1	24630000	24635000	0,0,0	4.1341276	0.98944366	2.4643047	1.6884232	2.0282953	3.0506792	0.7262752	4.5515
chr1	152665000	152670000	chr1	153205000	153210000	0,0,0	3.5721698	0.99744135	2.2391372	2.1268928	2.4169014	4.078324	1.0401192	5.968895
chr1	187050000	187055000	chr1	187260000	187265000	0,0,0	2.740433	0.9407462	1.7628925	0.9503903	1.1000253	1.9814265	0.38077906	2.826218
chr1	27195000	27200000	chr1	27285000	27290000	0,0,0	4.261351	0.995981	1.9380252	2.750982	3.3246229	3.0719695	1.10151	5.5172873
chr1	6790000	6795000	chr1	6890000	6895000	0,0,0	4.5598717	0.9966936	2.5838888	1.8608478	2.937486	4.058408	0.94800216	5.7124944
chr1	230915000	230920000	chr1	231210000	231215000	0,0,0	4.3006816	0.997291	2.6837509	1.4317474	2.7570336	4.639126	0.8300018	5.91179
chr1	29345000	29350000	chr1	30710000	30715000	0,0,0	3.301993	0.9947165	1.8370104	2.794544	3.710711	4.88436	1.8669822	7.368399
chr1	62175000	62180000	chr1	62405000	62410000	0,0,0	11.135696	0.9999994	5.1112833	6.1670074	9.048238	8.869997	2.4158075	14.35178
chr1	78695000	78700000	chr1	78830000	78835000	0,0,0	2.7576053	1.0	1.9492245	0.5642372	0.8379383	1.9437795	0.40709105	2.4453235
chr1	211150000	211160000	chr1	211230000	211240000	0,0,0	2.0266771	0.9217151	1.6411891	0.6424092	0.92573804	3.6246283	0.31226113	4.1956587
chr1	158795000	158800000	chr1	158985000	158990000	0,0,0	2.330761	0.9444464	1.537208	0.6106731	1.2324722	2.347886	0.38472515	2.8907068
chr1	162055000	162060000	chr1	162390000	162395000	0,0,0	4.933238	0.99926543	3.0647237	1.8766056	3.3327801	5.5488553	1.1142101	7.2169485
chr1	246895000	246900000	chr1	247325000	247330000	0,0,0	3.282342	0.9873321	2.0973055	1.6391375	1.645128	2.9121253	0.688256	4.3691363
chr1	112715000	112720000	chr1	112800000	112805000	0,0,0	8.804991	0.9998517	3.4227047	4.4640837	6.189584	4.8492756	2.1821842	8.817349
chr1	40775000	40780000	chr1	40845000	40850000	0,0,0	3.0927618	0.96007586	1.5693061	1.4270151	1.7656755	1.9526501	0.5280975	3.221108
chr1	212660000	212665000	chr1	212780000	212785000	0,0,0	3.7197764	1.0	1.861702	1.6527736	2.0207968	2.1788206	0.6091781	3.6479526
chr1	187255000	187260000	chr1	187925000	187930000	0,0,0	2.2499888	0.97167546	1.4258262	1.185585	1.4472463	2.5105422	0.6891432	3.5643952
chr1	29510000	29515000	chr1	29705000	29710000	0,0,0	2.3922744	0.9733821	1.5333523	1.0522426	1.5083721	2.691222	0.7256149	3.6265485
chr1	101830000	101835000	chr1	102425000	102430000	0,0,0	2.5537875	0.9753638	1.5020818	1.3999817	1.683378	2.4594927	0.6112657	3.703921
chr1	65235000	65240000	chr1	65685000	65690000	0,0,0	7.41629	0.9999952	3.7850416	4.6767225	7.0278053	8.0854845	2.1241686	12.242572
chr1	164620000	164625000	chr1	164785000	164790000	0,0,0	4.004517	0.98897785	2.3793733	1.3401799	2.1886575	3.317042	0.6192198	4.508313
chr1	91165000	91170000	chr1	91275000	91280000	0,0,0	5.1515803	1.0	1.9055603	2.6541388	3.6172998	2.6628046	0.9612425	5.0220394
chr1	175480000	175485000	chr1	176070000	176075000	0,0,0	4.238508	0.9950392	2.4255302	1.9166918	2.588381	3.6030185	0.9568986	5.3067446
chr1	63615000	63620000	chr1	63920000	63925000	0,0,0	2.601229	0.9588627	1.7353901	0.8795683	1.2199126	2.4093332	0.4314907	3.1911716
chr1	101650000	101655000	chr1	102190000	102195000	0,0,0	3.8933535	0.99674296	1.7146271	2.8215559	3.5972428	3.219478	0.99340105	5.7275276
chr1	86780000	86785000	chr1	87085000	87090000	0,0,0	4.5830774	0.9962418	2.4405048	2.089985	3.0342097	3.7266397	1.1253835	5.584404
chr1	76580000	76585000	chr1	77130000	77135000	0,0,0	2.4099116	0.95661485	1.6461381	0.9927044	1.057578	2.25556	0.6480097	3.137964
chr1	210405000	210410000	chr1	211135000	211140000	0,0,0	6.226793	0.99999654	2.9606972	6.1552887	9.524046	9.904664	2.5500023	15.376031
chr1	33115000	33120000	chr1	33360000	33365000	0,0,0	3.160886	1.0	1.9092945	1.1150906	1.2585982	1.9442694	0.4297125	2.9354608
chr1	91510000	91520000	chr1	92280000	92290000	0,0,0	4.187054	0.99878573	2.5020635	2.703352	4.319435	6.616038	1.5139745	9.019017
chr1	154960000	154965000	chr1	155050000	155055000	0,0,0	3.8172626	0.98140186	2.6151896	0.95840406	1.481623	3.1331918	0.52677846	3.9851067
chr1	152050000	152055000	chr1	152140000	152145000	0,0,0	5.06012	1.0	2.602624	1.9019824	2.7503693	3.1869838	1.1668416	4.877635
chr1	33295000	33300000	chr1	33610000	33615000	0,0,0	4.3615065	1.0	2.6056588	0.76704144	1.2599744	1.9309362	0.45269406	2.6127508
chr1	204565000	204570000	chr1	204805000	204810000	0,0,0	6.70684	0.9999286	3.121366	4.3367443	5.8072653	5.693212	1.7039733	9.548096
chr1	198765000	198770000	chr1	199240000	199245000	0,0,0	3.5395174	0.9979506	2.2930825	1.8766947	2.468064	4.522695	0.7974673	6.190868
chr1	115605000	115610000	chr1	115705000	115710000	0,0,0	3.8637273	0.9946409	2.030303	1.8852316	2.934747	3.5537355	1.0522344	5.229497
chr1	113135000	113140000	chr1	113445000	113450000	0,0,0	3.4373007	0.99008745	2.1934915	1.519859	1.8490725	3.263444	0.8555305	4.6144295
chr1	168085000	168090000	chr1	168320000	168325000	0,0,0	3.4945397	1.0	1.9345274	1.1242243	1.6009536	2.10176	0.5598556	3.1010704
chr1	184800000	184805000	chr1	185165000	185170000	0,0,0	5.153881	0.99811494	2.98592	2.0107732	3.1185582	4.4870963	0.9712648	6.2744503
chr1	178310000	178320000	chr1	178740000	178750000	0,0,0	3.0924497	0.99011457	2.132203	1.2208335	1.6297288	3.5319872	0.45161963	4.6171727
chr1	156090000	156095000	chr1	156225000	156230000	0,0,0	6.1010957	0.9997758	3.028037	3.1822264	5.0228434	5.5752044	1.7371864	8.40385
chr1	168635000	168640000	chr1	168790000	168795000	0,0,0	1.9494864	0.9171164	1.4042933	0.5888716	0.7938679	1.967135	0.2654026	2.4905763
chr1	83925000	83930000	chr1	84435000	84440000	0,0,0	6.115283	0.99951065	2.9617875	3.3275747	4.4785137	4.6653233	1.5155357	7.6231675
chr1	236610000	236615000	chr1	237385000	237390000	0,0,0	4.378827	0.9992131	2.4330347	2.1380544	3.8940632	5.247653	1.1086625	7.148146
chr1	84620000	84625000	chr1	84750000	84755000	0,0,0	3.862222	1.0	2.3386104	1.0842276	1.7508308	2.756187	0.46617556	3.7199447
chr1	152655000	152660000	chr1	152865000	152870000	0,0,0	5.8444223	1.0	3.32957	2.0327032	2.7893224	3.853469	0.984065	5.660316
chr1	63920000	63925000	chr1	64135000	64140000	0,0,0	4.076698	0.99807453	2.3435216	2.334301	2.9867814	4.178307	0.96706706	6.253241
chr1	29505000	29510000	chr1	29845000	29850000	0,0,0	2.7331846	0.9846589	1.8791199	0.92195266	1.5787604	3.3581378	0.42383	4.1776514
chr1	173430000	173440000	chr1	173710000	173720000	0,0,0	3.048264	0.9945518	1.9526932	2.6714249	3.813075	6.793876	1.344616	9.168476
chr1	229555000	229560000	chr1	229620000	229625000	0,0,0	3.7350752	1.0	2.1135044	0.9978757	1.6403637	2.2666636	0.47447345	3.153664
