chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr1	41815000	41820000	chr1	41910000	41915000	0,0,0	2.38093	0.9317218	1.5153829	0.74258196	1.1535285	2.02437	0.41002306	2.6844428
chr1	152050000	152055000	chr1	152140000	152145000	0,0,0	5.5293717	1.0	2.581712	2.3278365	3.1441302	3.102818	1.3346212	5.172006
chr1	91800000	91805000	chr1	91880000	91885000	0,0,0	2.7877014	0.9796719	1.41533	1.7405963	2.126666	2.3489578	0.7212915	3.8961544
chr1	204565000	204570000	chr1	204940000	204945000	0,0,0	3.0223436	0.9675542	1.6594514	1.4657271	1.6828579	2.125671	0.6916274	3.4285398
chr1	153510000	153520000	chr1	153740000	153750000	0,0,0	3.494899	0.99514806	1.9830946	1.7417378	2.7309399	3.7807133	0.9171192	5.3289247
chr1	201250000	201255000	chr1	201360000	201365000	0,0,0	8.480379	1.0	4.3169956	2.8917537	4.9657636	5.787854	1.3274213	8.358302
chr1	168600000	168605000	chr1	169350000	169355000	0,0,0	7.568317	0.99999934	3.8315806	5.5095305	8.257434	9.377138	2.8252816	14.274498
chr1	180510000	180520000	chr1	181150000	181160000	0,0,0	5.0415444	0.999517	3.1687593	2.482122	3.191244	5.4300084	1.2848344	7.6363397
chr1	241310000	241315000	chr1	241485000	241490000	0,0,0	3.479577	1.0	2.1769438	1.1073478	1.4510903	2.4429548	0.4805826	3.427264
chr1	233440000	233445000	chr1	233790000	233795000	0,0,0	4.3589063	0.99886924	2.513301	2.820391	4.6089554	6.5911517	1.4363306	9.098166
chr1	178095000	178100000	chr1	178185000	178190000	0,0,0	2.096133	0.9572945	1.4485044	0.7409513	1.1520171	2.495132	0.56736064	3.1537554
chr1	50870000	50875000	chr1	51190000	51195000	0,0,0	4.792975	0.99938226	2.2726324	3.1106193	4.516654	4.625181	1.3651292	7.3901763
chr1	221535000	221540000	chr1	222010000	222015000	0,0,0	2.2302225	0.9873214	1.405951	1.4855	1.7798803	3.047845	0.72308797	4.3682895
chr1	36100000	36105000	chr1	36195000	36200000	0,0,0	3.7159789	1.0	1.8927593	1.6928786	1.8384823	1.9974586	0.72302824	3.5022397
chr1	237820000	237830000	chr1	239980000	239990000	0,0,0	3.513569	0.9977222	2.2487733	2.9624746	3.1969063	5.6839733	1.473426	8.317285
chr1	218330000	218335000	chr1	219065000	219070000	0,0,0	7.5714307	0.9999987	4.2256265	3.9530535	7.3709044	10.024025	1.6554164	13.53785
chr1	6720000	6725000	chr1	7060000	7065000	0,0,0	4.0202494	0.99411625	2.2572365	1.6244693	2.7070553	3.6921163	1.0886463	5.136089
chr1	29690000	29695000	chr1	30700000	30705000	0,0,0	4.888217	0.9990191	2.536129	3.0154681	3.7007885	4.2473216	1.1450173	6.9277377
chr1	220205000	220210000	chr1	220775000	220780000	0,0,0	2.9638188	0.9914932	1.8890847	1.5353453	1.9334838	3.4026346	0.95103365	4.767386
chr1	163525000	163530000	chr1	165070000	165075000	0,0,0	4.9374485	0.9997289	2.586345	4.2392273	5.8200784	6.9030285	1.9810313	10.67123
chr1	50930000	50935000	chr1	51190000	51195000	0,0,0	3.092893	0.99245197	1.902472	1.3998014	2.239075	3.6427104	0.8941093	4.886978
chr1	54070000	54080000	chr1	54810000	54820000	0,0,0	3.6156335	0.9972989	2.299416	2.7677126	3.2382991	5.665895	1.5480049	8.126083
chr1	233445000	233450000	chr1	233900000	233905000	0,0,0	2.5947843	0.9712882	1.6273315	2.0061958	2.1478276	3.625373	1.18717	5.408658
chr1	186480000	186485000	chr1	186680000	186685000	0,0,0	5.366086	0.99886763	2.5646884	2.8199444	4.1239204	4.277504	1.0570776	6.7841215
chr1	171080000	171085000	chr1	171225000	171230000	0,0,0	4.069595	0.9967594	1.7738312	2.6059248	3.7500148	3.4162178	1.0279793	5.7325954
chr1	154480000	154485000	chr1	154545000	154550000	0,0,0	4.406124	0.9929193	2.2364442	1.9055719	2.8564935	3.2570543	0.6763599	4.9508963
chr1	181035000	181040000	chr1	181140000	181145000	0,0,0	6.684132	1.0	3.1815696	2.4470985	3.8495357	4.0207987	1.123431	6.195997
chr1	235255000	235260000	chr1	235325000	235330000	0,0,0	2.681805	0.97010106	1.7123698	0.92189825	1.5217429	2.6908307	0.53817135	3.5102959
chr1	171245000	171250000	chr1	171310000	171315000	0,0,0	2.7293365	0.9603426	1.5887709	0.91132164	1.6519542	2.4177477	0.5450782	3.2278113
chr1	112805000	112810000	chr1	112865000	112870000	0,0,0	2.6914644	0.96230024	1.4808203	1.2693807	1.6694835	2.1501026	0.57054245	3.278441
chr1	221740000	221745000	chr1	221830000	221835000	0,0,0	2.7100298	0.9511378	1.6398071	1.0986441	1.3135902	2.0424907	0.48943296	3.0190632
chr1	37890000	37895000	chr1	37970000	37975000	0,0,0	3.992041	1.0	2.2853632	1.5697498	1.6464145	2.2443202	0.844235	3.6396532
chr1	231355000	231360000	chr1	231420000	231425000	0,0,0	3.7317708	0.9801824	1.9761376	1.4292433	2.1680894	2.6511521	0.8776066	3.9215906
chr1	155325000	155330000	chr1	155590000	155595000	0,0,0	3.2195601	0.9964322	2.1510499	1.3426933	2.2514765	4.4428754	0.8629025	5.63638
chr1	182085000	182090000	chr1	182780000	182785000	0,0,0	3.9022639	0.9917412	2.279842	1.7481288	2.2422006	3.2430787	0.95560294	4.7969713
chr1	183470000	183475000	chr1	183540000	183545000	0,0,0	2.6016557	0.9515199	1.7094907	0.60074544	1.3214964	2.4929206	0.36545712	3.0269163
chr1	87290000	87295000	chr1	88060000	88065000	0,0,0	4.253671	0.99867815	2.4151292	3.4428174	4.3058944	5.864413	1.4625577	8.924695
chr1	248620000	248625000	chr1	248685000	248690000	0,0,0	3.069452	1.0	1.9517682	0.8382841	1.1604717	2.0311987	0.35853875	2.7763402
chr1	167065000	167070000	chr1	167535000	167540000	0,0,0	4.969448	0.9965923	2.4319143	2.1523933	3.457456	3.769067	1.0905274	5.6823053
