chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr1	244600000	244605000	chr1	244795000	244800000	0,0,0	7.595681	0.9999008	3.0658398	4.91214	6.134963	4.8531895	1.9187281	9.219536
chr1	20520000	20525000	chr1	20640000	20645000	0,0,0	6.448133	0.99846584	4.0204234	1.6644623	2.9800706	5.0009184	1.0220299	6.4804406
chr1	47735000	47740000	chr1	48195000	48200000	0,0,0	3.6152213	1.0	1.9715786	1.029391	1.9908332	2.6119967	0.45023385	3.5270112
chr1	26595000	26600000	chr1	26880000	26885000	0,0,0	4.1005235	0.9964582	2.2112124	2.1978703	2.96407	3.6900282	1.2623343	5.643691
chr1	218520000	218530000	chr1	219060000	219070000	0,0,0	2.7537777	0.9910255	1.934114	2.1917334	2.8776822	6.595608	1.2874972	8.543816
chr1	92855000	92860000	chr1	92990000	92995000	0,0,0	7.044103	0.9997158	3.0910573	3.7359295	5.293099	4.845965	1.4030493	8.166791
chr1	117530000	117540000	chr1	117740000	117750000	0,0,0	5.9222836	0.99997145	3.521511	4.7789	5.9159207	8.864339	1.9682683	13.11225
chr1	196145000	196150000	chr1	196305000	196310000	0,0,0	5.718058	0.99879265	3.0036201	2.3505335	3.8092337	4.630653	1.2343943	6.720016
chr1	197520000	197530000	chr1	198680000	198690000	0,0,0	3.9378872	0.9968671	1.7517575	4.373002	4.7176266	4.072209	2.4020374	7.959322
chr1	24400000	24405000	chr1	24630000	24635000	0,0,0	5.18184	0.9960068	2.604878	2.3549182	3.1147106	3.4304748	1.0136378	5.5237355
chr1	40610000	40615000	chr1	40670000	40675000	0,0,0	3.4635108	0.99210304	1.5930909	2.2864192	2.9423106	2.8094034	0.9801083	4.841776
chr1	226125000	226130000	chr1	226195000	226200000	0,0,0	3.8238766	0.9894583	1.7650336	2.1482208	2.7561352	2.6433618	0.9630275	4.5528913
chr1	242900000	242910000	chr1	243320000	243330000	0,0,0	3.121882	0.991164	1.558893	2.383218	2.5080962	2.611002	1.1701907	4.729418
chr1	237860000	237865000	chr1	237935000	237940000	0,0,0	3.37477	1.0	2.0302439	1.1295314	1.3511835	2.0737615	0.58187944	3.0777895
chr1	75265000	75270000	chr1	75630000	75635000	0,0,0	3.232036	0.9920513	2.0795956	1.3422445	2.0227768	3.642142	0.8531949	4.835248
chr1	65060000	65070000	chr1	65450000	65460000	0,0,0	3.4754274	0.99627256	1.8493937	2.526464	2.8251913	3.3468637	0.9118903	5.5926094
chr1	98985000	98990000	chr1	99700000	99705000	0,0,0	4.112668	0.99156827	1.8830129	2.4004061	2.8457527	2.6425557	0.99365777	4.7762504
chr1	86380000	86390000	chr1	86680000	86690000	0,0,0	3.5193639	0.9965841	2.0277631	2.996628	3.7080698	5.1982336	1.5687035	7.861903
chr1	66250000	66255000	chr1	66715000	66720000	0,0,0	3.2268505	0.9615429	2.0321343	0.88235795	1.4439031	2.4742315	0.61213714	3.2585497
chr1	64270000	64280000	chr1	64670000	64680000	0,0,0	5.635543	0.99997777	2.7907639	4.363931	8.372898	9.5029125	3.0569146	13.381962
