chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr1	201890000	201895000	chr1	202115000	202120000	0,0,0	3.9923048	1.0	2.5307045	1.3927062	1.4378742	2.4929566	0.73011386	3.7309175
chr1	212070000	212075000	chr1	212290000	212295000	0,0,0	5.1177115	0.99957204	2.9668846	2.798188	3.694949	5.270064	1.4798485	7.7573423
chr1	220990000	221000000	chr1	221190000	221200000	0,0,0	1.85456	0.9446871	1.5860162	0.6030656	1.0917423	5.6219845	0.37505376	6.1580434
chr1	59975000	59980000	chr1	60765000	60770000	0,0,0	4.662007	0.99952114	1.9310308	3.9820948	5.0063972	4.1053057	2.1007857	7.6449456
chr1	28785000	28790000	chr1	29200000	29205000	0,0,0	3.7427042	1.0	2.2495828	1.2889225	1.6412119	2.5210683	0.709655	3.6667771
chr1	198085000	198090000	chr1	198465000	198470000	0,0,0	3.820974	0.9953898	2.220776	1.9201787	2.5604198	3.6732178	1.0479852	5.3800435
chr1	39095000	39100000	chr1	39380000	39385000	0,0,0	3.3700638	0.9894429	1.8965948	1.9593604	2.1296747	2.8097708	0.90201885	4.5514245
chr1	240730000	240735000	chr1	240875000	240880000	0,0,0	3.7237577	0.9776577	2.3092031	0.9405229	1.7862236	2.9656472	0.68244994	3.8016675
chr1	170785000	170790000	chr1	170920000	170925000	0,0,0	2.9656105	0.96150255	1.709064	1.3131633	1.500015	2.0902445	0.4805122	3.2575004
chr1	154675000	154680000	chr1	155070000	155075000	0,0,0	4.6297054	0.99649	1.8917476	3.199578	3.6235888	2.8086574	1.2423708	5.6527267
chr1	26090000	26100000	chr1	26390000	26400000	0,0,0	3.6249754	0.99904466	2.1738806	2.2790196	3.210133	4.928336	0.88613164	6.954131
chr1	198155000	198160000	chr1	198680000	198685000	0,0,0	4.1606646	0.99493295	1.9824395	2.3573616	3.1449585	3.190108	1.0794139	5.2855406
chr1	71190000	71200000	chr1	72040000	72050000	0,0,0	3.3535144	0.99620557	1.60886	3.2651675	4.66184	4.84094	1.5228614	7.7433114
chr1	168435000	168440000	chr1	168570000	168575000	0,0,0	6.2559423	0.9987274	3.5081854	2.143337	3.5040703	4.7621975	1.1737357	6.667386
chr1	155275000	155280000	chr1	155320000	155325000	0,0,0	3.2229266	0.99016994	1.6090053	1.9614147	2.636353	2.8793073	1.0858371	4.622787
chr1	13665000	13670000	chr1	13815000	13820000	0,0,0	3.9298398	0.9862585	1.7320507	2.3971865	2.5482328	2.156946	0.92019314	4.2877784
chr1	202925000	202930000	chr1	203000000	203005000	0,0,0	3.3101707	1.0	2.1401758	0.8872522	1.348859	2.4569833	0.3173598	3.245652
chr1	31660000	31665000	chr1	31785000	31790000	0,0,0	4.7115483	0.99687797	2.3770015	2.3757296	3.2792275	3.6581104	1.1379857	5.76987
chr1	205790000	205795000	chr1	205975000	205980000	0,0,0	5.4870315	0.99712074	2.329395	2.7554152	3.8832126	3.4015658	1.0137894	5.850824
chr1	47730000	47740000	chr1	48230000	48240000	0,0,0	3.9401186	0.9967222	2.322731	1.947376	2.695837	3.9901729	1.3669969	5.721174
chr1	220290000	220295000	chr1	220505000	220510000	0,0,0	2.682297	0.9758068	1.8360385	1.0951843	1.2872577	2.7485707	0.71898127	3.722068
chr1	39195000	39200000	chr1	39405000	39410000	0,0,0	2.4636705	0.9529417	1.548822	0.98596007	1.2805454	2.1802766	0.70877695	3.0566857
chr1	79260000	79270000	chr1	80200000	80210000	0,0,0	3.2333763	0.9888689	1.6633189	2.622974	3.6320622	4.184145	1.3660866	6.5156765
chr1	212890000	212895000	chr1	212990000	212995000	0,0,0	2.4744935	0.9271789	1.5807005	0.6584168	1.1494757	2.034762	0.28245527	2.6200213
chr1	193180000	193185000	chr1	194290000	194295000	0,0,0	4.981701	0.99919975	2.0840778	3.6333086	4.664524	3.9017088	1.5821778	7.1313167
chr1	164910000	164920000	chr1	165080000	165090000	0,0,0	2.2322521	0.9451911	1.5719575	1.1701547	1.5562345	3.5928926	0.6929854	4.63303
chr1	31650000	31660000	chr1	31960000	31970000	0,0,0	2.909689	0.99634886	1.8361213	2.0976007	2.1872907	3.7487614	0.7673649	5.6132956
chr1	214800000	214810000	chr1	215080000	215090000	0,0,0	2.272398	0.98563963	1.7386507	1.3263404	2.252948	6.76676	0.79812586	7.945729
chr1	62175000	62180000	chr1	62405000	62410000	0,0,0	9.415449	0.99999523	4.2670026	5.587446	7.673024	7.2839575	2.22872	12.250577
chr1	180530000	180535000	chr1	180635000	180640000	0,0,0	3.5279245	1.0	2.4194193	0.8131276	1.1159414	2.3783507	0.3382879	3.1011307
chr1	205335000	205340000	chr1	205490000	205495000	0,0,0	3.3112614	0.9903124	1.9011925	1.7756969	2.197757	3.0589933	0.80215454	4.6373906
chr1	110410000	110415000	chr1	110460000	110465000	0,0,0	3.356016	0.99021274	1.5458504	1.800178	2.9995837	3.0269938	0.887636	4.6271524
chr1	167065000	167070000	chr1	167220000	167225000	0,0,0	5.358211	1.0	2.2343407	1.993459	3.666472	3.3471053	0.93843305	5.1190686
chr1	178800000	178810000	chr1	179400000	179410000	0,0,0	2.7697368	0.9871043	1.713755	1.3618344	1.9112201	3.140791	0.6165695	4.3513107
chr1	178540000	178545000	chr1	179005000	179010000	0,0,0	7.1260686	0.99999	4.091471	4.239776	5.5405984	7.7442245	2.3340333	11.512915
chr1	221740000	221745000	chr1	221890000	221895000	0,0,0	4.5977435	0.9936741	2.2569683	2.3065872	2.8747752	3.01333	0.9957267	5.0636296
chr1	211370000	211375000	chr1	211665000	211670000	0,0,0	3.0336692	0.97210026	1.6617348	1.58589	1.736404	2.1698296	0.64809835	3.5795097
chr1	68235000	68240000	chr1	68335000	68340000	0,0,0	2.4434648	0.9472908	1.5788575	0.8858609	1.1843519	2.1558375	0.50192714	2.9432695
chr1	94060000	94070000	chr1	94180000	94190000	0,0,0	2.4879248	0.98153573	1.7581478	2.0665987	2.459786	5.7844486	0.9058676	7.6214256
chr1	61585000	61590000	chr1	61850000	61855000	0,0,0	2.6996205	0.958901	1.6264529	1.0208822	1.4722807	2.2846518	0.45269114	3.1921027
chr1	180090000	180095000	chr1	180155000	180160000	0,0,0	2.655737	0.95390856	1.751173	0.81412125	1.2307538	2.3537834	0.46359855	3.0774467
chr1	182085000	182090000	chr1	182785000	182790000	0,0,0	4.6140747	1.0	2.4495263	1.7933	2.4489589	2.9702377	0.8996253	4.564282
chr1	218515000	218520000	chr1	219070000	219075000	0,0,0	2.9818707	0.98692596	1.8186415	1.6664169	1.8106822	2.8563151	0.76815075	4.3375745
chr1	171080000	171085000	chr1	171225000	171230000	0,0,0	4.896808	0.9988452	2.0535579	3.31715	4.4784846	3.8159628	1.2205923	6.7645407
chr1	154565000	154570000	chr1	155065000	155070000	0,0,0	3.1846282	0.986392	1.8767415	1.7331355	1.8911629	2.7569807	0.9617069	4.2975454
chr1	168705000	168710000	chr1	169355000	169360000	0,0,0	3.0491602	0.9954978	1.8892795	1.8207238	2.30144	3.7853334	0.75022	5.4037547
