seqnames1	start1	end1	width1	strand1	seqnames2	start2	end2	width2	strand2	A	T	C
chr1	810000	820000	10001	*	chr1	1510000	1520000	10001	*	TRUE	FALSE	FALSE
chr1	810000	820000	10001	*	chr1	2360000	2370000	10001	*	TRUE	FALSE	FALSE
chr1	1090000	1100000	10001	*	chr1	1490000	1500000	10001	*	FALSE	TRUE	FALSE
chr1	1710000	1720000	10001	*	chr1	1910000	1920000	10001	*	TRUE	TRUE	FALSE
chr1	1920000	1930000	10001	*	chr1	2180000	2190000	10001	*	FALSE	TRUE	FALSE
chr1	1920000	1930000	10001	*	chr1	2360000	2370000	10001	*	TRUE	FALSE	FALSE
chr1	2190000	2200000	10001	*	chr1	2390000	2400000	10001	*	FALSE	TRUE	FALSE
chr1	3430000	3440000	10001	*	chr1	3630000	3640000	10001	*	TRUE	TRUE	FALSE
chr1	3430000	3440000	10001	*	chr1	3890000	3900000	10001	*	TRUE	TRUE	FALSE
chr1	3900000	3910000	10001	*	chr1	5480000	5490000	10001	*	FALSE	TRUE	TRUE
chr1	3900000	3910000	10001	*	chr1	5970000	5980000	10001	*	TRUE	TRUE	TRUE
chr1	5490000	5500000	10001	*	chr1	5730000	5740000	10001	*	TRUE	TRUE	TRUE
chr1	5510000	5520000	10001	*	chr1	5970000	5980000	10001	*	TRUE	FALSE	FALSE
chr1	5740000	5750000	10001	*	chr1	5970000	5980000	10001	*	TRUE	TRUE	TRUE
chr1	5980000	5990000	10001	*	chr1	6350000	6360000	10001	*	TRUE	FALSE	FALSE
chr1	5980000	5990000	10001	*	chr1	6440000	6450000	10001	*	FALSE	FALSE	TRUE
chr1	5980000	5990000	10001	*	chr1	7950000	7960000	10001	*	TRUE	TRUE	TRUE
chr1	5990000	6000000	10001	*	chr1	6240000	6250000	10001	*	FALSE	TRUE	TRUE
chr1	6250000	6260000	10001	*	chr1	6440000	6450000	10001	*	FALSE	TRUE	TRUE
chr1	6430000	6440000	10001	*	chr1	6640000	6650000	10001	*	TRUE	FALSE	FALSE
chr1	6630000	6640000	10001	*	chr1	7650000	7660000	10001	*	TRUE	TRUE	TRUE
chr1	6630000	6640000	10001	*	chr1	7950000	7960000	10001	*	TRUE	TRUE	TRUE
chr1	7660000	7670000	10001	*	chr1	7950000	7960000	10001	*	TRUE	TRUE	TRUE
chr1	7960000	7970000	10001	*	chr1	8350000	8360000	10001	*	TRUE	TRUE	TRUE
chr1	7960000	7970000	10001	*	chr1	8850000	8860000	10001	*	TRUE	FALSE	FALSE
chr1	7960000	7970000	10001	*	chr1	9580000	9590000	10001	*	FALSE	TRUE	TRUE
chr1	8360000	8370000	10001	*	chr1	8740000	8750000	10001	*	FALSE	FALSE	TRUE
chr1	8360000	8370000	10001	*	chr1	8850000	8860000	10001	*	TRUE	TRUE	FALSE
chr1	8550000	8560000	10001	*	chr1	8740000	8750000	10001	*	FALSE	FALSE	TRUE
chr1	8550000	8560000	10001	*	chr1	8850000	8860000	10001	*	TRUE	FALSE	FALSE
chr1	8860000	8870000	10001	*	chr1	9110000	9120000	10001	*	TRUE	TRUE	FALSE
chr1	8860000	8870000	10001	*	chr1	9600000	9610000	10001	*	TRUE	TRUE	FALSE
chr1	9020000	9030000	10001	*	chr1	9250000	9260000	10001	*	FALSE	FALSE	TRUE
chr1	9020000	9030000	10001	*	chr1	9580000	9590000	10001	*	FALSE	FALSE	TRUE
chr1	9240000	9250000	10001	*	chr1	9490000	9500000	10001	*	TRUE	FALSE	FALSE
chr1	9250000	9260000	10001	*	chr1	9580000	9590000	10001	*	TRUE	TRUE	TRUE
chr1	9590000	9600000	10001	*	chr1	9870000	9880000	10001	*	TRUE	TRUE	TRUE
chr1	9590000	9600000	10001	*	chr1	10360000	10370000	10001	*	TRUE	TRUE	TRUE
chr1	9590000	9600000	10001	*	chr1	11020000	11030000	10001	*	TRUE	TRUE	TRUE
chr1	9950000	9960000	10001	*	chr1	10360000	10370000	10001	*	TRUE	TRUE	TRUE
chr1	10370000	10380000	10001	*	chr1	11020000	11030000	10001	*	FALSE	TRUE	FALSE
chr1	10440000	10450000	10001	*	chr1	11010000	11020000	10001	*	TRUE	FALSE	FALSE
chr1	10500000	10510000	10001	*	chr1	10870000	10880000	10001	*	FALSE	FALSE	TRUE
chr1	10500000	10510000	10001	*	chr1	11020000	11030000	10001	*	TRUE	TRUE	TRUE
chr1	11020000	11030000	10001	*	chr1	12030000	12040000	10001	*	TRUE	FALSE	FALSE
chr1	11030000	11040000	10001	*	chr1	11650000	11660000	10001	*	FALSE	TRUE	TRUE
chr1	11030000	11040000	10001	*	chr1	11910000	11920000	10001	*	FALSE	TRUE	TRUE
chr1	12240000	12250000	10001	*	chr1	12620000	12630000	10001	*	FALSE	TRUE	FALSE
chr1	13380000	13390000	10001	*	chr1	13660000	13670000	10001	*	TRUE	FALSE	FALSE
chr1	13380000	13390000	10001	*	chr1	13960000	13970000	10001	*	TRUE	FALSE	FALSE
chr1	13970000	13980000	10001	*	chr1	14550000	14560000	10001	*	TRUE	FALSE	FALSE
chr1	13970000	13980000	10001	*	chr1	15050000	15060000	10001	*	TRUE	TRUE	FALSE
chr1	14750000	14760000	10001	*	chr1	15040000	15050000	10001	*	TRUE	FALSE	FALSE
chr1	15060000	15070000	10001	*	chr1	15310000	15320000	10001	*	TRUE	TRUE	FALSE
chr1	15060000	15070000	10001	*	chr1	15510000	15520000	10001	*	TRUE	TRUE	FALSE
chr1	15320000	15330000	10001	*	chr1	15510000	15520000	10001	*	TRUE	TRUE	FALSE
chr1	15520000	15530000	10001	*	chr1	16010000	16020000	10001	*	FALSE	TRUE	FALSE
chr1	17060000	17070000	10001	*	chr1	17410000	17420000	10001	*	TRUE	TRUE	FALSE
